occurrence_no,record_type,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,stratscale,zone,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,environment,tectonic_setting,assembl_comps,pres_mode,preservation_quality,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,taxon_environment,environment_basis,motility,life_habit,diet
146665,occ,12943,n. gen. Anconastes n. sp. vesperus,species,136412,,Anconastes vesperus,,species,136412,Missourian,Gzhelian,305.9,298.9,Berman et al.,1987,4336,Chordata,Osteichthyes,Temnospondyli,Trematopidae,Anconastes,2,specimens,-106.347778,36.304443,,El Cobre Canyon,34761,(Cutler Formation) type horizon of Anconastes vesperus,US,New Mexico,Rio Arriba,stated in text,seconds,outcrop,gp_mid,-34.93,2.53,101,Cutler,,,group of beds,,"""The dark brown siltstone matrix in which the type specimens described here were preserved indicates deposition in an overbank facies. However, the original bed has been lost to erosion""",siltstone,brown,,,,,,dry floodplain,,macrofossils,body,good,specimens in isolated blocks on canyon floor,taxonomic,"surface (float),field collection",,,,,,,"brackish,freshwater,terrestrial",,actively mobile,ground dwelling,carnivore
147090,occ,13004,Gorgonopsia indet.,suborder,39095,,Gorgonopsia,,suborder,39095,Capitanian,,265.1,259.9,Van Den Heever and Hopson,1982,4318,Chordata,Osteichthyes,Cotylosauria,,,1,specimens,22,-32.366669,"FMNH PR 1188, partial skull, previously identified as 'therocephalian B'",Hottentotsrivier Farm,,"Hottentots River, Hottentot's River",ZA,Western Cape,Beaufort West,based on nearby landmark,minutes,outcrop,gp_mid,-27.68,-52.85,701,Abrahamskraal,Beaufort,,group of beds,Tapinocephalus Assemblage,"""fining-upward succession of sandstones and purple mudstones containing numerous thin chert bands and rich tetrapod faunas"" (Catuneanu et al., 2005, J. Afr. Earth Sci. 43)",sandstone,,,,,claystone,red,"""floodplain""",foreland basin,macrofossils,"body,mold/impression",variable,"""Extremely weathered and crushed skull"" refers to the therapsid remains (Van den Heever & Hopson, 1982).\r\n"" [...] extremely sharp impression of a small lizard-like reptile. By careful development I exposed a perfectly preserved carpus and tarsus with the actual bone, well preserved [...] "" refers to the type of Broomia perplexa (Watson, 1914).",taxonomic,"mechanical,peel or thin section,field collection,survey of museum collection","BMNH,FMNH",,,,D. M. S. Watson,,terrestrial,,actively mobile,,carnivore
147521,occ,13043,n. gen. Procolophon n. sp. trigoniceps,species,56758,,Procolophon trigoniceps,,species,56758,Induan,Olenekian,252.17,247.2,Broom,1905,29612,Chordata,Reptilia,NO_ORDER_SPECIFIED,Procolophonidae,Procolophon,10,specimens,26.509722,-32.10611,"BMNH R1726 (holotype) + 9 specimens in the Albany Museum (see Broom, 1903; Seeley, 1905; this material may include BMNH R518 and R5483, listed by Carroll & Lindsay, 1985)",Donnybrook (Queenstown District),,Donnybrooke; Tafelberg; Swart Kei River,ZA,Eastern Cape,Chris Hani,based on nearby landmark,seconds,small collection,gp_mid,-11.67,-51.38,701,Katberg,Beaufort,,bed,,,mudstone,red,,,,,,fluvial indet.,foreland basin,macrofossils,body,,,taxonomic,mechanical,BMNH,,,,D. White,,terrestrial,,actively mobile,,
147523,occ,13044,n. gen. Ophiodeirus n. sp. casei,species,138981,recombined as,Araeoscelis casei,,species,138981,Artinskian,,290.1,279.3,Broom,1913,28940,Chordata,Reptilia,Araeoscelidia,Araeoscelidae,Araeoscelis,2,individuals,-98.933609,33.611668,"AMNH 4685, 4686",Mouth of Godwin Creek,,"""Godlin Creek"", Locality XI of Case, 1907",US,Texas,Archer,based on nearby landmark,seconds,small collection,gp_mid,-30.27,-1.15,101,Nocona,Wichita,,bed,,"Specimens come from a fossiliferous conglomerate bed sandwiched between a sandstone above and a claystone below (see discussion in Vaughn, 1955 pp. 308/309).",conglomerate,red or brown,lithified,,,,,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,surface (float),surface (in situ),mechanical,field collection,survey of museum collection",AMNH,,,,E. C. Case,1906,terrestrial,,actively mobile,,
147563,occ,13046,Broiliellus n. sp. arroyoensis,species,136989,,Broiliellus arroyoensis,,species,136989,Kungurian,,279.3,272.3,DeMar,1967,4333,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Broiliellus,6,specimens,-99.199997,33.809723,"FMNH UR431 (Holotype: partial skull), FMNH UR808-812, and 351.",Broiliellus pocket,28256,East Coffee Creek,US,Texas,Baylor,based on nearby landmark,seconds,small collection,gp_mid,-28.89,1.8,101,Arroyo,Clear Fork,,group of beds,,,not reported,,,,,,,terrestrial indet.,foreland basin,macrofossils,body,medium,,taxonomic,"mechanical,survey of museum collection",,,,,,,"brackish,freshwater,terrestrial",,actively mobile,ground dwelling,carnivore
147564,occ,13048,Broiliellus n. sp. olsoni,species,136990,,Broiliellus olsoni,,species,136990,Wolfcamp,,296.4,268,DeMar,1967,4333,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Broiliellus,2,specimens,-98.147781,33.826389,,Thaxton Ranch,,Texas Ranch,US,Texas,Clay,estimated from map,seconds,small collection,gp_mid,-29.58,-1.28,101,,Wichita,,,,,not reported,,,,,,,terrestrial indet.,foreland basin,macrofossils,body,medium,,taxonomic,mechanical,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,ground dwelling,carnivore
147591,occ,13049,Edaphosaurus n. sp. colohistion,species,122353,,Edaphosaurus colohistion,,species,122353,Virgilian,,303.4,298.9,Berman,1979,4337,Chordata,Osteichthyes,Cotylosauria,Edaphosauridae,Edaphosaurus,1,specimens,-80.62722,40.044167,,I-70 Roadcut half mile East of Elm Grove,,,US,West Virginia,Ohio,estimated from map,seconds,small collection,gp_mid,-15.2,-3.5,101,Pittsburgh,Monongahela,Limestone B,bed,,,not reported,,,,,,,fluvial indet.,foreland basin,macrofossils,body,good,"""The deposit from which the holotype was collected has been described by Lund (1972:51) as a meander cutoff channel that filled slowly."" p. 187",taxonomic,"selective quarrying,surface (in situ),mechanical,field collection,survey of museum collection",,,,,,,terrestrial,,actively mobile,,
148242,occ,13080,Cricotus sp.,genus,37197,,Cricotus,,genus,37197,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Archeriidae,Cricotus,39,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,,
148243,occ,13080,Eryops sp.,genus,37011,,Eryops,,genus,37011,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,56,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
148244,occ,13080,Aspidosaurus sp.,genus,37021,,Aspidosaurus,,genus,37021,Artinskian,,290.1,279.3,Romer,1928,7693,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Aspidosaurus,2,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,based on nearby landmark,seconds,outcrop,gp_mid,-30.21,-1.18,101,Admiral,Wichita,,bed,,"red-beds, ""a series of typical red beds, consisting of clays, sandstone and shales, mostly red in color, and devoid of limestones."" ",claystone,red,,,,sandstone,red,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,ground dwelling,carnivore
