occurrence_no,record_type,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,geogscale,paleolng,paleolat,geoplate,formation,stratgroup,member,environment,pres_mode,taxon_environment
146665,occ,12943,Anconastes vesperus,species,136412,Missourian,Gzhelian,305.9,298.9,Chordata,Osteichthyes,Temnospondyli,Trematopidae,Anconastes,2,specimens,-106.347778,36.304443,,El Cobre Canyon,34761,(Cutler Formation) type horizon of Anconastes vesperus,US,New Mexico,Rio Arriba,outcrop,-34.93,2.53,101,Cutler,,,dry floodplain,body,"brackish,freshwater,terrestrial"
147090,occ,13004,Gorgonopsia,suborder,39095,Capitanian,,265.1,259.9,Chordata,Osteichthyes,Cotylosauria,,,1,specimens,22,-32.366669,"FMNH PR 1188, partial skull, previously identified as 'therocephalian B'",Hottentotsrivier Farm,,"Hottentots River, Hottentot's River",ZA,Western Cape,Beaufort West,outcrop,-27.68,-52.85,701,Abrahamskraal,Beaufort,,"""floodplain""","body,mold/impression",terrestrial
147521,occ,13043,Procolophon trigoniceps,species,56758,Induan,Olenekian,252.17,247.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Procolophonidae,Procolophon,10,specimens,26.509722,-32.10611,"BMNH R1726 (holotype) + 9 specimens in the Albany Museum (see Broom, 1903; Seeley, 1905; this material may include BMNH R518 and R5483, listed by Carroll & Lindsay, 1985)",Donnybrook (Queenstown District),,Donnybrooke; Tafelberg; Swart Kei River,ZA,Eastern Cape,Chris Hani,small collection,-11.67,-51.38,701,Katberg,Beaufort,,fluvial indet.,body,terrestrial
147523,occ,13044,Araeoscelis casei,species,138981,Artinskian,,290.1,279.3,Chordata,Reptilia,Araeoscelidia,Araeoscelidae,Araeoscelis,2,individuals,-98.933609,33.611668,"AMNH 4685, 4686",Mouth of Godwin Creek,,"""Godlin Creek"", Locality XI of Case, 1907",US,Texas,Archer,small collection,-30.27,-1.15,101,Nocona,Wichita,,terrestrial indet.,body,terrestrial
147563,occ,13046,Broiliellus arroyoensis,species,136989,Kungurian,,279.3,272.3,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Broiliellus,6,specimens,-99.199997,33.809723,"FMNH UR431 (Holotype: partial skull), FMNH UR808-812, and 351.",Broiliellus pocket,28256,East Coffee Creek,US,Texas,Baylor,small collection,-28.89,1.8,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
147564,occ,13048,Broiliellus olsoni,species,136990,Wolfcamp,,296.4,268,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Broiliellus,2,specimens,-98.147781,33.826389,,Thaxton Ranch,,Texas Ranch,US,Texas,Clay,small collection,-29.58,-1.28,101,,Wichita,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
147591,occ,13049,Edaphosaurus colohistion,species,122353,Virgilian,,303.4,298.9,Chordata,Osteichthyes,Cotylosauria,Edaphosauridae,Edaphosaurus,1,specimens,-80.62722,40.044167,,I-70 Roadcut half mile East of Elm Grove,,,US,West Virginia,Ohio,small collection,-15.2,-3.5,101,Pittsburgh,Monongahela,Limestone B,fluvial indet.,body,terrestrial
148242,occ,13080,Cricotus,genus,37197,Artinskian,,290.1,279.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Archeriidae,Cricotus,39,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,outcrop,-30.21,-1.18,101,Admiral,Wichita,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
148243,occ,13080,Eryops,genus,37011,Artinskian,,290.1,279.3,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,56,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,outcrop,-30.21,-1.18,101,Admiral,Wichita,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
148244,occ,13080,Aspidosaurus,genus,37021,Artinskian,,290.1,279.3,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Aspidosaurus,2,specimens,-98.856941,33.622501,,Briar Creek,,"(Admiral Formation) Locality 13 (Romer 1928), Locality IVd (Romer & Price 1940), faunal Zone 1, Wichita Group, Texas red-beds, redbeds; Brier Creek",US,Texas,Archer,outcrop,-30.21,-1.18,101,Admiral,Wichita,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
